N HSQ P NCAU START STOP EST
10000 0.0015 1095 3 16050408 17674295 0.00328
10000 0.0015 1095 3 16050408 17674295 0.00101
10000 0.0015 1095 3 16050408 17674295 -0.00398
10000 0.0015 1095 3 16050408 17674295 0.00536
10000 0.0015 1095 3 16050408 17674295 -0.00785
10000 0.0015 1095 3 16050408 17674295 -0.00116
10000 0.0015 1095 3 16050408 17674295 0.00437
10000 0.0015 1095 3 16050408 17674295 -0.00025
10000 0.0015 1095 3 16050408 17674295 0.00259
10000 0.0015 1095 3 16050408 17674295 0.00295
10000 0.0015 1095 3 16050408 17674295 -0.0018
10000 0.0015 1095 3 16050408 17674295 0.00188
10000 0.0015 1095 3 16050408 17674295 -0.000211
10000 0.0015 1095 3 16050408 17674295 0.00264
10000 0.0015 1095 3 16050408 17674295 -0.00989
10000 0.0015 1095 3 16050408 17674295 0.000223
10000 0.0015 1095 3 16050408 17674295 0.00951
10000 0.05 1095 3 16050408 17674295 0.0538
10000 0.05 1095 3 16050408 17674295 0.0591
10000 0.05 1095 3 16050408 17674295 0.0507
10000 0.05 1095 3 16050408 17674295 0.0595
10000 0.05 1095 3 16050408 17674295 0.0561
10000 0.05 1095 3 16050408 17674295 0.051
10000 0.05 1095 3 16050408 17674295 0.0598
10000 0.05 1095 3 16050408 17674295 0.054
10000 0.05 1095 3 16050408 17674295 0.0552
10000 0.05 1095 3 16050408 17674295 0.0578
10000 0.05 1095 3 16050408 17674295 0.0552
10000 0.05 1095 3 16050408 17674295 0.0371
10000 0.05 1095 3 16050408 17674295 0.0628
10000 0.05 1095 3 16050408 17674295 0.0621
10000 0.05 1095 3 16050408 17674295 0.044
10000 0.05 1095 3 16050408 17674295 0.062
10000 0.05 1095 3 16050408 17674295 0.0649
10000 0.05 1095 3 16050408 17674295 0.0598
10000 0.05 1095 3 16050408 17674295 0.0582
10000 0.05 1095 3 16050408 17674295 0.0648
10000 0.05 1095 3 16050408 17674295 0.0626
10000 0.05 1095 3 16050408 17674295 0.0569
10000 0.05 1095 3 16050408 17674295 0.0501
10000 0.05 1095 3 16050408 17674295 0.047
10000 0.05 1095 3 16050408 17674295 0.054
10000 0.05 1095 3 16050408 17674295 0.0718
10000 0.05 1095 3 16050408 17674295 0.0622
10000 0.05 1095 3 16050408 17674295 0.0672
10000 0.05 1095 3 16050408 17674295 0.0589
10000 0.05 1095 3 16050408 17674295 0.0649
10000 0.05 1095 3 16050408 17674295 0.0598
10000 0.05 1095 3 16050408 17674295 0.0556
10000 0.05 1095 3 16050408 17674295 0.0649
10000 0.05 1095 3 16050408 17674295 0.0548
10000 0.05 1095 3 16050408 17674295 0.0664
10000 0.05 1095 3 16050408 17674295 0.0583
10000 0.05 1095 3 16050408 17674295 0.0654
10000 0.05 1095 3 16050408 17674295 0.052
10000 0.05 1095 3 16050408 17674295 0.0564
10000 0.05 1095 3 16050408 17674295 0.0638
10000 0.05 1095 3 16050408 17674295 0.0729
10000 0.05 1095 3 16050408 17674295 0.0504
10000 0.05 1095 3 16050408 17674295 0.0732
10000 0.05 1095 3 16050408 17674295 0.0583
10000 0.05 1095 3 16050408 17674295 0.0596
10000 0.05 1095 3 16050408 17674295 0.0657
10000 0.05 1095 3 16050408 17674295 0.0682
10000 0.05 1095 3 16050408 17674295 0.0629
10000 0.05 1095 3 16050408 17674295 0.0642
10000 0.05 1095 3 16050408 17674295 0.062
10000 0.5 1095 3 16050408 17674295 0.579
10000 0.5 1095 3 16050408 17674295 0.546
10000 0.5 1095 3 16050408 17674295 0.536
10000 0.5 1095 3 16050408 17674295 0.562
10000 0.5 1095 3 16050408 17674295 0.574
10000 0.5 1095 3 16050408 17674295 0.595
10000 0.5 1095 3 16050408 17674295 0.579
10000 0.5 1095 3 16050408 17674295 0.566
10000 0.5 1095 3 16050408 17674295 0.559
10000 0.5 1095 3 16050408 17674295 0.552
10000 0.5 1095 3 16050408 17674295 0.577
10000 0.5 1095 3 16050408 17674295 0.585
10000 0.5 1095 3 16050408 17674295 0.568
10000 0.5 1095 3 16050408 17674295 0.581
10000 0.5 1095 3 16050408 17674295 0.56
10000 0.5 1095 3 16050408 17674295 0.596
10000 0.5 1095 3 16050408 17674295 0.579
10000 0.5 1095 3 16050408 17674295 0.581
10000 0.5 1095 3 16050408 17674295 0.597
10000 0.5 1095 3 16050408 17674295 0.573
10000 0.5 1095 3 16050408 17674295 0.558
10000 0.5 1095 3 16050408 17674295 0.553
10000 0.5 1095 3 16050408 17674295 0.564
10000 0.5 1095 3 16050408 17674295 0.53
10000 0.5 1095 3 16050408 17674295 0.578
10000 0.5 1095 3 16050408 17674295 0.613
10000 0.5 1095 3 16050408 17674295 0.567
10000 0.5 1095 3 16050408 17674295 0.564
10000 0.5 1095 3 16050408 17674295 0.552
10000 0.5 1095 3 16050408 17674295 0.574
10000 0.5 1095 3 16050408 17674295 0.579
10000 0.5 1095 3 16050408 17674295 0.572
10000 0.5 1095 3 16050408 17674295 0.612
10000 0.5 1095 3 16050408 17674295 0.534
10000 0.5 1095 3 16050408 17674295 0.557
10000 0.5 1095 3 16050408 17674295 0.572
10000 0.5 1095 3 16050408 17674295 0.692
10000 0.5 1095 3 16050408 17674295 0.55
10000 0.5 1095 3 16050408 17674295 0.58
10000 0.5 1095 3 16050408 17674295 0.495
10000 0.5 1095 3 16050408 17674295 0.575
10000 0.5 1095 3 16050408 17674295 0.595
10000 0.5 1095 3 16050408 17674295 0.563
10000 0.5 1095 3 16050408 17674295 0.56
10000 0.5 1095 3 16050408 17674295 0.588
10000 0.5 1095 3 16050408 17674295 0.516
10000 0.5 1095 3 16050408 17674295 0.591
10000 0.5 1095 3 16050408 17674295 0.595
10000 0.5 1095 3 16050408 17674295 0.575
10000 0.5 1095 3 16050408 17674295 0.592
50000 0.0015 1095 3 16050408 17674295 0.00372
50000 0.0015 1095 3 16050408 17674295 0.00219
50000 0.0015 1095 3 16050408 17674295 0.000582
50000 0.0015 1095 3 16050408 17674295 8.45e-05
50000 0.0015 1095 3 16050408 17674295 -6.82e-05
50000 0.0015 1095 3 16050408 17674295 0.0025
50000 0.0015 1095 3 16050408 17674295 0.00315
50000 0.0015 1095 3 16050408 17674295 0.000729
50000 0.0015 1095 3 16050408 17674295 0.001
50000 0.0015 1095 3 16050408 17674295 0.00369
50000 0.0015 1095 3 16050408 17674295 0.00179
50000 0.0015 1095 3 16050408 17674295 0.00104
50000 0.0015 1095 3 16050408 17674295 0.00127
50000 0.0015 1095 3 16050408 17674295 0.000506
50000 0.0015 1095 3 16050408 17674295 0.00144
50000 0.0015 1095 3 16050408 17674295 0.000961
50000 0.0015 1095 3 16050408 17674295 -0.000932
50000 0.0015 1095 3 16050408 17674295 0.0025
50000 0.0015 1095 3 16050408 17674295 0.00112
50000 0.0015 1095 3 16050408 17674295 0.00324
50000 0.0015 1095 3 16050408 17674295 0.00199
50000 0.0015 1095 3 16050408 17674295 0.00143
50000 0.0015 1095 3 16050408 17674295 0.00136
50000 0.0015 1095 3 16050408 17674295 0.00098
50000 0.0015 1095 3 16050408 17674295 0.00224
50000 0.0015 1095 3 16050408 17674295 0.00125
50000 0.0015 1095 3 16050408 17674295 0.000491
50000 0.0015 1095 3 16050408 17674295 0.000806
50000 0.0015 1095 3 16050408 17674295 0.00167
50000 0.0015 1095 3 16050408 17674295 0.000261
50000 0.0015 1095 3 16050408 17674295 0.00163
50000 0.0015 1095 3 16050408 17674295 0.00212
50000 0.0015 1095 3 16050408 17674295 0.00276
50000 0.0015 1095 3 16050408 17674295 0.00296
50000 0.0015 1095 3 16050408 17674295 0.00197
50000 0.0015 1095 3 16050408 17674295 0.00142
50000 0.0015 1095 3 16050408 17674295 0.0016
50000 0.0015 1095 3 16050408 17674295 0.000283
50000 0.0015 1095 3 16050408 17674295 0.00166
50000 0.0015 1095 3 16050408 17674295 0.00234
50000 0.0015 1095 3 16050408 17674295 -0.000144
50000 0.0015 1095 3 16050408 17674295 0.00219
50000 0.0015 1095 3 16050408 17674295 0.00187
50000 0.0015 1095 3 16050408 17674295 0.000227
50000 0.0015 1095 3 16050408 17674295 0.00207
50000 0.0015 1095 3 16050408 17674295 0.0014
50000 0.0015 1095 3 16050408 17674295 0.00134
50000 0.0015 1095 3 16050408 17674295 0.00286
50000 0.0015 1095 3 16050408 17674295 0.00185
50000 0.0015 1095 3 16050408 17674295 0.00174
50000 0.05 1095 3 16050408 17674295 0.0502
50000 0.05 1095 3 16050408 17674295 0.0541
50000 0.05 1095 3 16050408 17674295 0.0517
50000 0.05 1095 3 16050408 17674295 0.0549
50000 0.05 1095 3 16050408 17674295 0.0517
50000 0.05 1095 3 16050408 17674295 0.0498
50000 0.05 1095 3 16050408 17674295 0.0483
50000 0.05 1095 3 16050408 17674295 0.0517
50000 0.05 1095 3 16050408 17674295 0.0548
50000 0.05 1095 3 16050408 17674295 0.0525
50000 0.05 1095 3 16050408 17674295 0.0432
50000 0.05 1095 3 16050408 17674295 0.0526
50000 0.05 1095 3 16050408 17674295 0.0523
50000 0.05 1095 3 16050408 17674295 0.0505
50000 0.05 1095 3 16050408 17674295 0.0512
50000 0.05 1095 3 16050408 17674295 0.0473
50000 0.05 1095 3 16050408 17674295 0.0547
50000 0.05 1095 3 16050408 17674295 0.0503
50000 0.05 1095 3 16050408 17674295 0.0532
50000 0.05 1095 3 16050408 17674295 0.0492
50000 0.05 1095 3 16050408 17674295 0.0523
50000 0.05 1095 3 16050408 17674295 0.053
50000 0.05 1095 3 16050408 17674295 0.0497
50000 0.05 1095 3 16050408 17674295 0.0492
